contest_num,total_participants,problem1,problem2,problem3,problem4,total_accepted
weekly-contest-200,15383,0.4055125788207762,0.32204381460053305,0.1009556003380355,0.0751478905285055,0.2259149710719625
biweekly-contest-32,10463,0.4731912453407244,0.2205868297811336,0.1640064990920386,0.029532638822517443,0.2218293032591035
weekly-contest-201,15616,0.3689164959016393,0.29508196721311475,0.12231045081967215,0.04655481557377049,0.2082159323770492
weekly-contest-202,14374,0.4424655628217615,0.3920272714623626,0.09711979963823571,0.059482398775567,0.24777375817448172
biweekly-contest-33,11366,0.497800457504839,0.2793418968854478,0.21925039591764914,0.12942108041527361,0.2814534576808024
weekly-contest-203,15080,0.303315649867374,0.33992042440318304,0.08905835543766578,0.05311671087533156,0.1963527851458886
weekly-contest-204,13949,0.30446626998351134,0.18395583912825292,0.0368485196071403,0.027887303749372715,0.13828948311706932
biweekly-contest-34,10140,0.5072978303747534,0.2485207100591716,0.09477317554240632,0.06429980276134123,0.22872287968441812
weekly-contest-205,13171,0.38751803204008806,0.25639662895755827,0.27568142130438084,0.05269151924683016,0.2430719003872143
weekly-contest-206,13292,0.41084863075534156,0.21840204634366536,0.12631658140234728,0.021742401444477883,0.19432741498645803
biweekly-contest-35,8750,0.37542857142857144,0.11554285714285714,0.06182857142857143,0.024,0.14420000000000002
weekly-contest-207,12923,0.39859165828368026,0.1838582372514122,0.14981041553818772,0.009982202275013542,0.18556062833707346
weekly-contest-208,11499,0.44377771980172187,0.29550395686581443,0.17758065918775545,0.0513957735455257,0.24206452735020437
biweekly-contest-36,8332,0.478276524243879,0.264642342774844,0.14162265962554008,0.03480556889102256,0.22983677388382143
weekly-contest-209,12138,0.401301697149448,0.3478332509474378,0.051738342395781844,0.02397429560059318,0.2062118965233152
weekly-contest-210,11792,0.40866689280868385,0.2935888738127544,0.12135345997286295,0.030868385345997285,0.2136194029850746
biweekly-contest-37,8250,0.4106666666666667,0.20812121212121212,0.03478787878787879,0.01187878787878788,0.16636363636363638
weekly-contest-211,11960,0.43411371237458196,0.08804347826086957,0.07692307692307693,0.037207357859531776,0.15907190635451507
weekly-contest-212,10984,0.3993080844865259,0.34340859431900944,0.10378732702112163,0.011562272396212672,0.21451656955571738
biweekly-contest-38,7446,0.3560300832661832,0.32299221058286326,0.1625033575073865,0.059763631479989254,0.22532232070910557
weekly-contest-213,10630,0.29303857008466605,0.28767638758231423,0.10009407337723425,0.06528692380056444,0.18652398871119474
weekly-contest-214,9769,0.3913399529122735,0.2890776947486948,0.06223769065410994,0.03480397174736411,0.1943648275156106
biweekly-contest-39,6047,0.33967256490821895,0.13858111460228212,0.05771456920787167,0.02860922771622292,0.14114436910864891
weekly-contest-215,9683,0.3174635959929774,0.25498295982650004,0.13549519776928637,0.006299700506041516,0.17856036352370133
